"","latitude","longitude","count"
"67",-73.9326062,40.5925329,190
"68",-74.0059728,40.7127753,1471
"69",-73.9594952,40.7630174,841
"70",-73.8175923,40.7653995,182
"71",-73.9804083,40.7425904,89
"72",-73.9873375,40.6814599,11
"73",-73.8449478,40.7211538,132
"74",-73.9925244,40.7534726,119
"75",-73.9115026,40.8603888,99
"76",-73.9162916,40.7609434,156
"77",-73.9893629,40.7595716,184
"78",-73.9427428,40.6199105,81
"79",-73.8555421,40.6927323,43
"80",-73.9463767,40.6919654,148
"81",-73.956997,40.6419603,3
"82",-74.0838942,40.607005,19
"83",-73.8877819,40.8374083,345
"84",-73.873036,40.7340415,933
"85",-74.0150268,40.6470294,28
"86",-73.7390612,40.7073529,352
"87",-73.9214133,40.7068351,18
"88",-73.9210666,40.8530938,10
"89",-73.8605962,40.6721154,3
"90",-73.7926121,40.7430227,82
"91",-73.991633,40.754707,261
"92",-73.9870435,40.7421612,1162
"93",-73.8622805,40.7499212,417
"94",-73.951862,40.7694491,239
"95",-73.9455202,40.6651132,33
"96",-73.7113071,40.7494647,18
"97",-73.9438284,40.8219569,31
"98",-73.9422841,40.6684629,66
"99",-73.9822804,40.7384592,147
"100",-73.8244583,40.873685,17
"101",-73.9047654,40.6761271,1203
"102",-73.9157466,40.7484533,80
"103",-73.9577386,40.7710852,69
"104",-73.7644302,40.6564465,7
"105",-73.859898,40.8465208,104
"106",-73.880007,40.87047,63
"107",-73.9483926,40.8164287,12
"108",-74.1727673,40.6234058,179
"109",-73.9238052,40.8644501,88
"110",-73.9841978,40.7672935,189
"111",-73.9860293,40.7226415,212
"112",-73.8181218,40.761461,230
"113",-73.9342705,40.6515642,200
"114",-73.9631313,40.6136033,802
"115",87.8549755,22.9867569,668
"116",-70.934205,41.6362152,81
"117",-73.7390612,40.7073529,352
"118",-73.9525304,40.6897488,110
"119",-73.9047654,40.6761271,1203
"120",-73.9631313,40.6136033,802
"121",-73.9131066,40.6466536,165
"122",-73.9967806,40.7503052,88
"123",-73.9438284,40.8219569,31
"124",-73.9600777,40.7733428,967
"125",-73.8963061,40.8335739,67
"126",-74.1451273,40.6169819,15
"127",-74.1673723,40.5498817,9
"128",-73.9227107,40.8635825,15
"129",-73.9083293,40.738632,35
"130",-73.9847724,40.7692123,437
"131",-73.9551094,40.6192476,161
"132",-73.985207,40.7660018,132
"133",-73.9145127,40.7658609,126
"134",-73.9984155,40.6287783,63
"135",-73.9203529,40.7722723,33
"136",-73.7581939,40.7400911,14
"137",-73.9692537,40.7576439,72
"138",-73.9050863,40.8327501,1987
"139",-74.0059728,40.7127753,1471
"140",-73.8961789,40.6579899,1009
"141",-73.9011034,40.7458254,39
"142",-73.8542181,40.8094843,2
"143",-74.0059728,40.7127753,1471
"144",-74.0064852,40.7272544,27
"145",-73.9605343,40.8124199,2408
"146",-73.9770369,40.7493762,157
"147",-73.9408679,40.7568997,39
"148",-73.953305,40.6629745,14
"149",-73.9551094,40.6192476,161
"150",-73.8768433,40.7459204,12
"151",-74.007206,40.637755,726
"152",-73.992079,40.754091,208
"153",-73.9927978,40.742903,672
"154",-73.9050863,40.8327501,1987
"155",-73.9617361,40.7641964,916
"156",-73.9870435,40.7421612,1162
"157",-73.9840674,40.7491122,304
"158",-73.9068487,40.6847203,5
"159",-73.9591228,40.6844907,48
"160",-73.8893802,40.8534729,88
"161",-73.9580258,40.6459145,506
"162",-73.8961789,40.6579899,1009
"163",-74.0075727,40.7073729,53
"164",-73.9594952,40.7630174,841
"165",-73.8900169,40.8568614,54
"166",-73.9594952,40.7630174,841
"167",-73.9047654,40.6761271,1203
"168",-73.9145127,40.7658609,126
"169",-73.9619153,40.7159317,45
"170",-73.9968854,40.6424702,118
"171",-74.0058812,40.7197752,160
"172",-73.7868517,40.7518868,2
"173",-73.9600777,40.7733428,967
"174",-73.8870734,40.8167524,16
"175",-73.8205783,40.7308796,21
"176",-73.8626175,40.6725492,10
"177",-73.9065629,40.8460176,14
"178",-73.9913276,40.7578775,162
"179",-73.8916738,40.7643865,32
"180",-73.9050863,40.8327501,1987
"181",-73.9627132,40.6399028,17
"182",-73.9594312,40.7692518,74
"183",-73.9607797,40.5872611,46
"184",-73.9078934,40.7117851,8
"185",-73.9327626,40.6955872,21
"186",-73.9100638,40.8944416,17
"187",-73.9033274,40.6418832,571
"188",-73.9770378,40.7477533,156
"189",-73.9297471,40.6463192,339
"190",-73.9424401,40.8280385,317
"191",-73.9570109,40.6939805,34
"192",-73.8714737,40.8247881,11
"193",-73.9605343,40.8124199,2408
"194",-73.8893335,40.7689979,109
"195",-73.848037,40.672615,39
"196",-73.9507362,40.6115018,31
"197",-73.9770378,40.7477533,156
"198",-73.9614503,40.7016756,76
"199",-73.9485659,40.6414369,752
"200",-74.1371015,40.6074886,11
"201",-73.982669,40.7394962,53
"202",-73.9466138,40.8164218,147
"203",-73.9974097,40.6955812,3
"204",-73.9561746,40.6537842,166
"205",-73.8904498,40.6584573,377
"206",-73.9980082,40.7475915,131
"207",-73.9605343,40.8124199,2408
"208",-73.9951995,40.6450938,53
"209",-73.7631308,40.7381838,4
"210",-73.8961789,40.6579899,1009
"211",-73.9631313,40.6136033,802
"212",-73.9094685,40.8414275,133
"213",-73.8928913,40.877126,49
"214",-73.9994485,40.7630261,130
"215",-73.9521977,40.7789515,72
"216",-73.9600777,40.7733428,967
"217",-73.7762603,40.7115244,4
"218",-73.9408195,40.7540933,36
"219",-73.9882141,40.7607273,280
"220",-73.9297471,40.6463192,339
"221",-73.9417836,40.6202587,348
"222",-73.9655044,40.7619245,73
"223",-73.9417836,40.6202587,348
"224",-73.9656177,40.7744146,1143
"225",-74.0077298,40.7151912,174
"226",-73.8801257,40.7501911,458
"227",-73.9813799,40.739763,47
"228",-73.9557711,40.6817436,81
"229",-73.8961789,40.6579899,1009
"230",-73.9769031,40.7851039,17
"231",-73.8103489,40.7838524,7
"232",-73.8204943,40.7009675,35
"233",-73.9562105,40.8134463,667
"234",-73.9840674,40.7491122,304
"235",-74.0031631,40.7348952,2
"236",-73.8926533,40.8323989,16
"237",-73.9297471,40.6463192,339
"238",-73.9329803,40.8478786,66
"239",87.8549755,22.9867569,668
"240",-73.9870435,40.7421612,1162
"241",-73.7390612,40.7073529,352
"242",-73.9888676,40.5742968,68
"243",-73.769544,40.6837389,121
"244",-73.927998,40.7366067,124
"245",-73.992079,40.754091,208
"246",-74.0060919,40.6093466,204
"247",-73.9327454,40.8528978,15
"248",-73.9804083,40.7425904,89
"249",-74.1214011,40.6131926,6
"250",-73.8433911,40.86429,34
"251",-73.8961789,40.6579899,1009
"252",-73.8830712,40.7311882,134
"253",-73.9683862,40.612878,797
"254",-73.9287949,40.6258071,31
"255",-73.9643414,40.7630715,49
"256",-73.9656177,40.7744146,1143
"257",-73.8676435,40.8563009,464
"258",-73.9466138,40.8164218,147
"259",-73.9608876,40.6174986,11
"260",-73.8189687,40.6854073,15
"261",-73.9660415,40.7613278,108
"262",-73.908299,40.699882,314
"263",-73.8877819,40.8374083,345
"264",-73.9847724,40.7692123,437
"265",-73.9512061,40.6138285,30
"266",-73.9177149,40.8206448,26
"267",-73.9555049,40.661274,14
"268",-73.9594952,40.7630174,841
"269",-73.8801257,40.7501911,458
"270",-73.8173535,40.5885234,279
"271",-74.00161,40.7261224,77
"272",-73.9131066,40.6466536,165
"273",-73.9925244,40.7534726,119
"274",-73.9427428,40.6199105,81
"275",-73.8857129,40.7592787,110
"276",-73.8250952,40.7359744,374
"277",-73.9832222,40.7742944,23
"278",-73.7704173,40.6581804,146
"279",-73.9600777,40.7733428,967
"280",-73.863572,40.828049,30
"281",-73.9378992,40.7547816,36
"282",-73.9330461,40.6278498,73
"283",-73.7681088,40.7579052,121
"284",-73.970781,40.7558356,69
"285",-73.9984746,40.7453063,165
"286",-73.9634803,40.6717905,498
"287",-73.9772115,40.7540446,65
"288",-73.9374139,40.7345896,61
"289",-73.805096,40.7304576,56
"290",-73.9318236,40.7554056,64
"291",-73.764102,40.662715,4
"292",-73.991633,40.754707,261
"293",-73.859039,40.7067924,406
"294",-73.8335179,40.6838023,233
"295",-73.7957088,40.7185771,165
"296",-73.9562105,40.8134463,667
"297",-73.9903028,40.6896859,108
"298",-73.9836548,40.7679663,195
"299",-73.9193159,40.849689,18
"300",-73.98442,40.7248612,43
"301",-73.9822804,40.7384592,147
"302",-73.8345573,40.6904049,24
"303",-73.9941216,40.7266358,46
"304",-73.839515,40.7672943,121
"305",-73.9050863,40.8327501,1987
"306",-73.9656177,40.7744146,1143
"307",-74.0081585,40.7452495,95
"308",-73.9994498,40.7216015,69
"309",-73.8594304,40.849323,10
"310",-74.0399555,40.6280321,120
"311",-73.8672459,40.748931,47
"312",-73.9879788,40.761446,149
"313",-73.908299,40.699882,314
"314",-73.9148575,40.8245063,24
"315",-73.9796053,40.7514504,2
"316",-73.9708782,40.6718918,80
"317",-73.892526,40.666581,18
"318",-73.9485659,40.6414369,752
"319",-73.9499408,40.8137969,24
"320",-73.9822804,40.7384592,147
"321",-73.8226563,40.5831389,32
"322",-73.9136187,40.8523008,252
"323",-73.9169127,40.8383387,105
"324",-73.9485659,40.6414369,752
"325",-73.9683862,40.612878,797
"326",-73.9953521,40.7521252,256
"327",-73.8874273,40.8595729,175
"328",-73.9683862,40.612878,797
"329",-73.873036,40.7340415,933
"330",-73.9992756,40.6281485,248
"331",-73.9571116,40.7716597,61
"332",-73.9979806,40.7226644,85
"333",-74.1319151,40.6360485,15
"334",-73.9557711,40.6817436,81
"335",-73.9050863,40.8327501,1987
"336",-73.9927978,40.742903,672
"337",-73.985796,40.7221373,86
"338",-73.9229974,40.8463061,25
"339",-73.7634591,40.7410294,8
"340",-73.9047654,40.6761271,1203
"341",-73.9978385,40.6502586,100
"342",-73.8801257,40.7501911,458
"343",-74.0077185,40.7428202,216
"344",-73.9562843,40.8081698,22
"345",-73.8582407,40.8781471,11
"346",-73.9605343,40.8124199,2408
